season,date,team1,team2,odds1,oddsX,odds2,gameId
2021-2022,2021-11-29,BOS,VAN,1.54,5.15,5.0,
2021-2022,2021-11-29,CHI,SJS,2.3,4.4,2.67,
2021-2022,2021-11-29,ANA,TOR,3.45,4.45,1.91,
2021-2022,2021-11-30,BUF,SEA,2.95,4.3,2.14,
2021-2022,2021-11-30,MTL,VAN,2.17,4.33,2.9,
2021-2022,2021-11-30,WPG,ARI,1.48,5.45,5.9,
2021-2022,2021-11-30,CGY,PIT,2.25,4.33,3.05,
2021-2022,2021-12-01,BOS,DET,1.74,4.65,4.0,
2021-2022,2021-12-01,NJD,SJS,2.04,4.5,3.05,
2021-2022,2021-12-01,FLA,WSH,2.27,4.55,2.92,
2021-2022,2021-12-01,MIN,ARI,1.44,5.65,6.0,
2021-2022,2021-12-01,NSH,CBJ,2.0,4.4,3.2,
2021-2022,2021-12-01,STL,TBL,2.27,4.55,2.91,
2021-2022,2021-12-01,DAL,CAR,2.5,4.3,2.46,
2021-2022,2021-12-01,LAK,ANA,2.3,4.3,2.7,
2021-2022,2021-12-02,NYR,PHI,1.85,4.65,3.66,
2021-2022,2021-12-02,TOR,COL,2.29,4.55,2.88,
2021-2022,2021-12-02,OTT,VAN,2.65,4.4,2.29,
2021-2022,2021-12-02,DET,SEA,2.55,4.2,2.44,
2021-2022,2021-12-02,ANA,VGK,3.22,4.55,2.01,
2021-2022,2021-12-02,EDM,PIT,2.26,4.55,2.65,
2021-2022,2021-12-03,FLA,BUF,1.5,5.35,5.4,
2021-2022,2021-12-03,CAR,OTT,1.48,5.4,5.6,
2021-2022,2021-12-03,WSH,CHI,1.77,4.9,3.94,
2021-2022,2021-12-03,TBL,STL,2.09,4.6,3.24,
2021-2022,2021-12-03,MTL,COL,3.42,4.8,1.85,
2021-2022,2021-12-03,NYI,SJS,2.28,4.4,2.86,
2021-2022,2021-12-03,NSH,BOS,2.67,4.35,2.5,
2021-2022,2021-12-03,MIN,NJD,1.93,4.65,3.3,
2021-2022,2021-12-03,DAL,CBJ,1.77,4.65,3.78,
2021-2022,2021-12-03,LAK,CGY,3.2,4.33,2.01,
2021-2022,2021-12-04,NYR,SJS,1.77,4.65,4.15,
2021-2022,2021-12-04,WPG,NJD,1.84,4.55,3.55,
2021-2022,2021-12-04,ARI,VGK,4.3,4.9,1.71,
2021-2022,2021-12-04,ANA,CGY,2.88,4.35,2.34,
2021-2022,2021-12-04,SEA,EDM,2.92,4.5,2.15,
2021-2022,2021-12-04,FLA,STL,2.03,4.7,3.35,2021020370.0
2021-2022,2021-12-05,WSH,CBJ,1.64,5.05,4.33,
2021-2022,2021-12-05,BOS,TBL,2.64,4.4,2.51,
2021-2022,2021-12-05,DET,NYI,2.55,4.2,2.43,
2021-2022,2021-12-05,MIN,TOR,2.5,4.45,2.38,
2021-2022,2021-12-05,NSH,MTL,1.69,4.75,4.33,
2021-2022,2021-12-05,OTT,COL,4.1,5.0,1.68,
2021-2022,2021-12-05,CAR,BUF,1.54,5.4,5.25,
2021-2022,2021-12-05,NYR,CHI,1.91,4.65,3.3,
2021-2022,2021-12-05,VAN,PIT,2.9,4.4,2.11,
2021-2022,2021-12-06,PHI,TBL,2.63,4.45,2.45,
2021-2022,2021-12-06,CBJ,SJS,2.5,4.33,2.44,
2021-2022,2021-12-06,NYI,CHI,2.07,4.33,3.05,
2021-2022,2021-12-06,WPG,TOR,2.37,4.5,2.52,
2021-2022,2021-12-06,EDM,LAK,1.76,4.95,3.95,
2021-2022,2021-12-06,VGK,CGY,2.32,4.55,2.83,
2021-2022,2021-12-07,PHI,COL,3.9,4.8,1.86,
2021-2022,2021-12-07,WSH,ANA,1.76,5.1,3.7,
2021-2022,2021-12-07,NJD,OTT,1.81,4.8,3.5,
2021-2022,2021-12-07,DAL,ARI,1.49,5.3,5.8,
2021-2022,2021-12-07,VAN,LAK,2.11,4.4,2.95,
2021-2022,2021-12-07,SEA,PIT,2.7,4.4,2.35,
2021-2022,2021-12-08,TOR,CBJ,1.56,5.1,4.8,
2021-2022,2021-12-08,DET,NSH,2.6,4.3,2.36,
2021-2022,2021-12-08,OTT,NYI,3.14,4.33,2.03,
2021-2022,2021-12-08,MTL,TBL,4.25,4.8,1.71,
2021-2022,2021-12-08,BUF,ANA,2.75,4.5,2.21,
2021-2022,2021-12-08,WPG,CAR,2.51,4.55,2.6,
2021-2022,2021-12-08,STL,FLA,2.97,4.65,2.06,
2021-2022,2021-12-08,CHI,NYR,2.62,4.4,2.35,
2021-2022,2021-12-08,EDM,MIN,2.41,4.7,2.66,
2021-2022,2021-12-08,SJS,CGY,3.05,4.3,2.08,
2021-2022,2021-12-09,NJD,PHI,2.08,4.35,3.0,
2021-2022,2021-12-09,NYR,COL,3.25,4.6,1.98,
2021-2022,2021-12-09,VAN,BOS,3.02,4.45,2.1,
2021-2022,2021-12-09,VGK,DAL,2.25,4.33,3.06,
2021-2022,2021-12-10,MTL,CHI,2.9,4.3,2.15,
2021-2022,2021-12-10,TOR,TBL,2.19,4.4,3.13,
2021-2022,2021-12-10,CBJ,ANA,2.42,4.3,2.5,
2021-2022,2021-12-10,NYI,NSH,2.35,4.2,2.7,
2021-2022,2021-12-10,STL,DET,1.96,4.5,3.25,
2021-2022,2021-12-10,EDM,BOS,2.33,4.5,2.84,
2021-2022,2021-12-10,CGY,CAR,2.17,4.3,2.85,
2021-2022,2021-12-10,SEA,WPG,2.56,4.33,2.36,
2021-2022,2021-12-10,SJS,MIN,3.1,4.5,2.04,
2021-2022,2021-12-10,LAK,DAL,2.75,4.15,2.3,
2021-2022,2021-12-11,BUF,NYR,3.78,4.8,1.78,
2021-2022,2021-12-11,WSH,PIT,2.18,4.65,3.04,
2021-2022,2021-12-11,NJD,NSH,2.35,4.4,2.6,
2021-2022,2021-12-11,ARI,FLA,5.2,5.25,1.52,
2021-2022,2021-12-11,COL,DET,1.44,5.9,5.9,
2021-2022,2021-12-11,VAN,WPG,2.19,4.45,2.8,
2021-2022,2021-12-11,VGK,PHI,1.66,5.05,4.5,
2021-2022,2021-12-11,OTT,TBL,3.94,4.8,1.79,2021020421.0
2021-2022,2021-12-12,STL,MTL,1.62,4.9,4.5,
2021-2022,2021-12-12,PIT,ANA,2.05,4.4,3.02,
2021-2022,2021-12-12,TOR,CHI,1.57,5.1,4.85,
2021-2022,2021-12-12,BUF,WSH,4.45,4.9,1.67,
2021-2022,2021-12-12,NYI,NJD,1.87,4.35,3.6,
2021-2022,2021-12-12,ARI,PHI,3.1,4.4,2.08,
2021-2022,2021-12-12,EDM,CAR,2.42,4.65,2.67,
2021-2022,2021-12-12,CGY,BOS,2.33,4.33,2.93,
2021-2022,2021-12-12,SEA,CBJ,2.1,4.45,2.95,
2021-2022,2021-12-12,LAK,MIN,2.65,4.5,2.27,
2021-2022,2021-12-12,SJS,DAL,2.55,4.3,2.4,
2021-2022,2021-12-13,NYR,NSH,2.08,4.45,3.0,
2021-2022,2021-12-13,STL,ANA,2.15,4.5,2.88,
2021-2022,2021-12-13,COL,FLA,2.19,4.75,2.98,
2021-2022,2021-12-13,VGK,MIN,2.02,4.55,3.1,
2021-2022,2021-12-13,VAN,CAR,2.61,4.35,2.38,
2021-2022,2021-12-15,PIT,MTL,1.51,5.2,5.3,
2021-2022,2021-12-15,PHI,NJD,2.33,4.45,2.63,
2021-2022,2021-12-15,TBL,LAK,1.84,4.5,3.6,
2021-2022,2021-12-15,BOS,VGK,2.5,4.55,2.6,
2021-2022,2021-12-15,FLA,OTT,1.59,5.2,4.6,
2021-2022,2021-12-15,DET,NYI,2.6,4.25,2.4,
2021-2022,2021-12-15,WPG,BUF,1.59,5.1,4.6,
2021-2022,2021-12-15,DAL,STL,2.12,4.55,3.2,
2021-2022,2021-12-15,EDM,TOR,2.66,4.6,2.25,
2021-2022,2021-12-15,COL,NYR,1.81,4.8,3.6,
2021-2022,2021-12-15,VAN,CBJ,2.14,4.4,2.9,
2021-2022,2021-12-15,SJS,SEA,2.13,4.45,2.85,
2021-2022,2021-12-16,CHI,WSH,3.14,4.55,2.04,
2021-2022,2021-12-16,ARI,NYR,3.85,4.8,1.89,
2021-2022,2021-12-16,ANA,SEA,1.95,4.6,3.4,
2021-2022,2021-12-17,MTL,PHI,3.35,4.55,1.9,
2021-2022,2021-12-17,TBL,OTT,1.6,4.9,4.65,
2021-2022,2021-12-17,FLA,LAK,2.12,4.5,3.22,
2021-2022,2021-12-17,NJD,VGK,3.78,4.75,1.83,
2021-2022,2021-12-17,CAR,DET,1.84,4.55,3.78,
2021-2022,2021-12-17,NYI,BOS,2.5,4.25,2.71,
2021-2022,2021-12-17,NSH,COL,3.18,4.45,1.98,
2021-2022,2021-12-17,MIN,BUF,1.5,5.7,5.95,
2021-2022,2021-12-17,EDM,CBJ,1.73,4.9,3.94,
2021-2022,2021-12-17,SJS,VAN,2.39,4.25,2.65,
2021-2022,2021-12-18,NYR,VGK,2.86,4.7,2.27,
2021-2022,2021-12-18,PIT,BUF,1.45,5.5,6.2,
2021-2022,2021-12-18,STL,DAL,2.47,4.35,2.46,
2021-2022,2021-12-18,WPG,WSH,2.28,4.45,2.7,
2021-2022,2021-12-18,CHI,NSH,2.19,4.25,2.85,
2021-2022,2021-12-18,ANA,ARI,1.55,5.25,5.6,
2021-2022,2021-12-19,CAR,LAK,1.94,4.33,3.32,
2021-2022,2021-12-19,PHI,OTT,2.2,4.5,2.78,
2021-2022,2021-12-19,DET,NJD,2.2,4.45,2.74,
2021-2022,2021-12-19,DAL,CHI,1.87,4.7,4.0,
2021-2022,2021-12-19,SEA,EDM,2.53,4.45,2.35,
2021-2022,2021-12-19,NYI,VGK,2.95,4.2,2.15,2021020483.0
2021-2022,2021-12-19,WPG,STL,2.18,4.33,2.8,2021020486.0
2021-2022,2021-12-20,NJD,PIT,3.82,4.85,1.78,
2021-2022,2021-12-20,WSH,LAK,1.83,4.65,4.15,
2021-2022,2021-12-21,DAL,MIN,2.48,4.8,2.55,
2021-2022,2021-12-22,VGK,TBL,2.4,4.5,2.74,
2021-2022,2021-12-29,TBL,MTL,1.55,5.25,4.9,
2021-2022,2021-12-29,LAK,VGK,2.96,4.33,2.31,
2021-2022,2021-12-29,SJS,ARI,1.67,4.8,4.5,
2021-2022,2021-12-30,WSH,NSH,1.96,4.6,3.22,
2021-2022,2021-12-30,FLA,NYR,1.88,4.65,3.4,
2021-2022,2021-12-30,BUF,NJD,2.75,4.55,2.22,
2021-2022,2021-12-30,STL,EDM,2.26,4.8,2.83,
2021-2022,2021-12-30,SEA,PHI,2.15,4.55,2.8,
2021-2022,2021-12-30,ANA,VAN,2.38,4.4,2.62,
2021-2022,2021-12-31,CBJ,NSH,2.56,4.4,2.4,
2021-2022,2021-12-31,CAR,MTL,1.38,5.95,6.8,
2021-2022,2021-12-31,FLA,TBL,2.09,4.9,3.13,
2021-2022,2021-12-31,NYI,BUF,1.77,4.7,3.95,
2021-2022,2021-12-31,SEA,CGY,3.64,4.6,1.83,
2021-2022,2021-12-31,SJS,PHI,2.03,4.5,3.25,
2021-2022,2021-12-31,LAK,VAN,2.16,4.4,2.95,
2021-2022,2021-12-31,NJD,EDM,3.08,4.65,2.01,2021020562.0
2021-2022,2021-12-31,VGK,ANA,1.85,4.75,3.68,2021020565.0
2021-2022,2022-01-01,TBL,NYR,2.46,4.55,2.65,
2021-2022,2022-01-01,DET,WSH,3.62,4.7,1.9,
2021-2022,2022-01-01,CBJ,CAR,3.7,4.8,1.77,2021020570.0
2021-2022,2022-01-01,BOS,BUF,1.49,5.05,5.6,2021020566.0
2021-2022,2022-01-01,FLA,MTL,1.27,6.7,9.0,2021020568.0
2021-2022,2022-01-01,NYI,EDM,2.38,4.3,2.57,2021020569.0
2021-2022,2022-01-01,NSH,CHI,1.78,4.7,3.84,2021020571.0
2021-2022,2022-01-02,TOR,OTT,1.46,5.6,6.0,
2021-2022,2022-01-02,MIN,STL,2.51,4.55,2.59,
2021-2022,2022-01-02,SEA,VAN,2.55,4.33,2.39,
2021-2022,2022-01-02,LAK,PHI,1.99,4.55,3.54,
2021-2022,2022-01-02,NYR,TBL,2.92,4.45,2.29,2021020576.0
2021-2022,2022-01-02,DET,BOS,3.0,4.25,2.1,2021020575.0
2021-2022,2022-01-02,PIT,SJS,1.88,4.6,3.4,2021020577.0
2021-2022,2022-01-02,COL,ANA,1.52,5.25,5.2,2021020580.0
2021-2022,2022-01-02,WSH,NJD,1.69,4.95,3.95,2021020578.0
2021-2022,2022-01-02,VGK,WPG,2.11,4.5,2.9,2021020582.0
2021-2022,2022-01-03,CHI,CGY,3.75,4.7,1.79,
2021-2022,2022-01-04,NYR,EDM,2.75,4.8,2.32,
2021-2022,2022-01-05,BOS,NJD,1.55,5.2,5.2,
2021-2022,2022-01-05,CBJ,TBL,4.2,4.85,1.67,
2021-2022,2022-01-05,FLA,CGY,2.16,4.55,3.13,
2021-2022,2022-01-05,DET,SJS,2.26,4.25,2.7,
2021-2022,2022-01-05,CHI,COL,4.33,4.95,1.64,
2021-2022,2022-01-05,ARI,WPG,4.15,4.75,1.72,
2021-2022,2022-01-05,ANA,PHI,1.96,4.35,3.28,
2021-2022,2022-01-05,VGK,NSH,2.4,4.55,2.73,
2021-2022,2022-01-06,TOR,EDM,1.51,5.4,5.35,
2021-2022,2022-01-06,PIT,STL,2.26,4.65,2.89,
2021-2022,2022-01-07,BOS,MIN,2.1,4.55,3.24,
2021-2022,2022-01-07,NJD,CBJ,2.04,4.55,3.0,
2021-2022,2022-01-07,TBL,CGY,1.79,4.8,3.9,
2021-2022,2022-01-07,BUF,SJS,2.5,4.33,2.45,
2021-2022,2022-01-07,PHI,PIT,4.5,4.9,1.65,
2021-2022,2022-01-07,DAL,FLA,2.72,4.45,2.22,
2021-2022,2022-01-07,ARI,CHI,3.2,4.35,1.99,
2021-2022,2022-01-07,COL,WPG,1.63,5.05,4.45,
2021-2022,2022-01-07,VGK,NYR,1.97,4.65,3.56,
2021-2022,2022-01-07,LAK,NSH,2.9,4.3,2.14,
2021-2022,2022-01-08,CAR,CGY,1.8,4.6,4.15,
2021-2022,2022-01-08,STL,WSH,2.42,4.8,2.62,
2021-2022,2022-01-08,DAL,PIT,2.56,4.35,2.38,2021020619.0
2021-2022,2022-01-09,CBJ,NJD,2.17,4.5,2.8,
2021-2022,2022-01-09,CAR,FLA,2.42,4.6,2.68,
2021-2022,2022-01-09,PHI,SJS,2.58,4.3,2.34,
2021-2022,2022-01-09,TBL,BOS,1.92,4.65,3.74,
2021-2022,2022-01-09,COL,TOR,1.98,4.6,3.08,
2021-2022,2022-01-09,MIN,WSH,2.7,4.5,2.26,
2021-2022,2022-01-09,ARI,NSH,4.2,4.7,1.7,
2021-2022,2022-01-09,ANA,NYR,2.46,4.3,2.46,
2021-2022,2022-01-09,VGK,CHI,1.61,5.15,4.9,
2021-2022,2022-01-09,LAK,DET,2.15,4.25,2.9,
2021-2022,2022-01-09,STL,DAL,1.92,4.55,3.48,2021020629.0
2021-2022,2022-01-10,ANA,DET,2.29,4.33,2.99,
2021-2022,2022-01-11,WSH,BOS,2.45,4.55,2.67,
2021-2022,2022-01-11,COL,SEA,1.42,5.85,6.5,
2021-2022,2022-01-11,LAK,NYR,2.38,4.4,2.55,
2021-2022,2022-01-12,BUF,TBL,5.25,5.4,1.53,
2021-2022,2022-01-12,CBJ,CHI,2.4,4.5,2.48,
2021-2022,2022-01-12,FLA,VAN,1.67,5.05,4.33,
2021-2022,2022-01-12,NSH,COL,2.92,4.7,2.23,
2021-2022,2022-01-12,ANA,PIT,3.45,4.55,1.86,
2021-2022,2022-01-12,VGK,TOR,2.81,4.65,2.31,
2021-2022,2022-01-12,SJS,DET,2.13,4.33,2.9,
2021-2022,2022-01-13,BOS,MTL,1.48,6.05,6.2,
2021-2022,2022-01-13,DAL,SEA,1.76,4.75,3.8,
2021-2022,2022-01-13,ARI,TOR,5.05,5.35,1.52,
2021-2022,2022-01-14,CAR,CBJ,1.55,5.35,4.8,
2021-2022,2022-01-14,TBL,VAN,1.63,5.1,4.5,
2021-2022,2022-01-14,BOS,PHI,1.63,5.15,4.75,
2021-2022,2022-01-14,NYI,NJD,1.74,4.7,3.84,
2021-2022,2022-01-14,DET,WPG,2.68,4.2,2.29,
2021-2022,2022-01-14,NSH,BUF,1.46,5.45,5.8,
2021-2022,2022-01-14,STL,SEA,1.76,4.8,3.85,
2021-2022,2022-01-14,CHI,MTL,1.66,4.8,4.33,
2021-2022,2022-01-14,CGY,OTT,1.51,5.5,5.25,
2021-2022,2022-01-14,SJS,NYR,2.92,4.4,2.3,
2021-2022,2022-01-14,LAK,PIT,3.08,4.55,2.18,
2021-2022,2022-01-15,FLA,DAL,1.76,4.95,3.7,
2021-2022,2022-01-15,MIN,ANA,2.04,4.65,3.35,
2021-2022,2022-01-15,COL,ARI,1.28,7.1,9.0,
2021-2022,2022-01-15,CAR,VAN,1.77,4.7,3.95,2021020672.0
2021-2022,2022-01-15,BOS,NSH,2.05,4.55,3.38,2021020665.0
2021-2022,2022-01-15,NYI,WSH,2.65,4.35,2.3,2021020670.0
2021-2022,2022-01-16,FLA,CBJ,1.53,5.5,5.0,
2021-2022,2022-01-16,PHI,NYR,3.05,4.45,2.03,
2021-2022,2022-01-16,TBL,DAL,1.59,5.1,4.95,
2021-2022,2022-01-16,DET,BUF,1.91,4.55,3.32,
2021-2022,2022-01-16,STL,TOR,3.54,4.65,1.98,
2021-2022,2022-01-16,CHI,ANA,1.99,4.45,3.15,
2021-2022,2022-01-16,ARI,COL,6.0,5.85,1.42,
2021-2022,2022-01-16,SEA,LAK,2.7,4.35,2.38,
2021-2022,2022-01-16,EDM,OTT,1.78,4.95,3.85,
2021-2022,2022-01-16,SJS,PIT,3.1,4.6,2.0,
2021-2022,2022-01-16,WSH,VAN,1.98,4.65,3.52,2021020680.0
2021-2022,2022-01-17,BUF,DET,2.9,4.4,2.14,2021020682.0
2021-2022,2022-01-17,COL,MIN,1.64,5.15,4.3,2021020686.0
2021-2022,2022-01-17,SJS,LAK,2.54,4.3,2.45,2021020689.0
2021-2022,2022-01-17,ARI,MTL,2.22,4.3,2.75,2021020687.0
2021-2022,2022-01-17,SEA,CHI,2.44,4.25,2.5,2021020690.0
2021-2022,2022-01-18,NYI,PHI,1.83,4.5,3.58,
2021-2022,2022-01-18,STL,NSH,2.23,4.7,2.93,
2021-2022,2022-01-18,VGK,PIT,2.53,4.7,2.53,
2021-2022,2022-01-19,WSH,WPG,2.2,4.5,2.79,
2021-2022,2022-01-19,OTT,BUF,1.7,4.9,4.1,
2021-2022,2022-01-19,BOS,CAR,2.3,4.5,2.88,
2021-2022,2022-01-19,PHI,NYI,2.77,4.3,2.23,
2021-2022,2022-01-19,NSH,VAN,2.2,4.45,2.75,
2021-2022,2022-01-19,DAL,MTL,1.49,5.4,5.65,
2021-2022,2022-01-19,CGY,FLA,2.96,4.45,2.27,
2021-2022,2022-01-19,LAK,TBL,3.75,4.7,1.77,
2021-2022,2022-01-20,NJD,ARI,1.74,4.8,3.85,
2021-2022,2022-01-20,NYR,TOR,2.98,4.75,2.19,
2021-2022,2022-01-20,ANA,COL,4.6,5.15,1.59,
2021-2022,2022-01-21,BOS,WSH,2.01,4.7,3.42,
2021-2022,2022-01-21,PIT,OTT,1.49,5.45,5.4,
2021-2022,2022-01-21,PHI,CBJ,2.29,4.5,2.6,
2021-2022,2022-01-21,BUF,DAL,3.74,4.65,1.79,
2021-2022,2022-01-21,NSH,WPG,2.05,4.5,3.1,
2021-2022,2022-01-21,EDM,FLA,3.48,4.85,1.96,
2021-2022,2022-01-21,LAK,COL,3.45,4.75,1.86,
2021-2022,2022-01-21,VGK,MTL,1.5,5.55,5.8,
2021-2022,2022-01-21,SEA,SJS,2.41,4.35,2.55,
2021-2022,2022-01-22,CBJ,PIT,3.9,5.0,1.73,
2021-2022,2022-01-22,CAR,NYR,1.88,4.8,3.8,
2021-2022,2022-01-22,NYI,ARI,1.58,4.85,4.9,
2021-2022,2022-01-22,DET,DAL,2.55,4.3,2.39,
2021-2022,2022-01-22,CHI,MIN,2.75,4.45,2.25,
2021-2022,2022-01-22,VAN,FLA,3.68,5.0,1.76,
2021-2022,2022-01-22,ANA,TBL,4.9,4.9,1.68,
2021-2022,2022-01-22,SEA,STL,3.62,4.7,1.83,
2021-2022,2022-01-22,BUF,PHI,2.85,4.45,2.16,2021020722.0
2021-2022,2022-01-22,BOS,WPG,1.85,4.7,3.5,2021020721.0
2021-2022,2022-01-23,COL,MTL,1.3,6.8,8.5,
2021-2022,2022-01-23,NJD,CAR,3.15,4.65,1.97,
2021-2022,2022-01-23,NYR,ARI,1.51,5.15,5.6,
2021-2022,2022-01-23,WSH,OTT,1.71,5.05,4.05,
2021-2022,2022-01-23,NYI,TOR,3.38,4.6,2.04,
2021-2022,2022-01-23,NSH,DET,1.68,4.85,4.25,
2021-2022,2022-01-23,MIN,CHI,1.72,4.9,3.9,
2021-2022,2022-01-23,EDM,CGY,2.74,4.75,2.34,
2021-2022,2022-01-23,SJS,TBL,3.05,4.6,2.02,
2021-2022,2022-01-23,PIT,WPG,1.75,5.1,4.25,2021020733.0
2021-2022,2022-01-24,CBJ,OTT,2.07,4.6,2.94,
2021-2022,2022-01-24,NJD,LAK,2.95,4.55,2.1,
2021-2022,2022-01-24,SEA,FLA,4.6,5.2,1.59,
2021-2022,2022-01-24,VAN,STL,3.35,4.6,2.0,
2021-2022,2022-01-25,NYR,LAK,2.11,4.65,3.18,
2021-2022,2022-01-25,WSH,VGK,2.05,4.55,2.94,
2021-2022,2022-01-25,PHI,DAL,3.32,4.55,1.91,
2021-2022,2022-01-25,BOS,ANA,1.63,4.85,4.7,
2021-2022,2022-01-25,MIN,MTL,1.48,5.65,6.0,
2021-2022,2022-01-25,COL,CHI,1.49,5.5,5.4,
2021-2022,2022-01-25,CGY,STL,2.07,4.5,3.05,
2021-2022,2022-01-26,OTT,BUF,1.89,4.7,3.4,
2021-2022,2022-01-26,NJD,DAL,2.75,4.45,2.21,
2021-2022,2022-01-26,PIT,ARI,1.37,6.1,6.75,
2021-2022,2022-01-26,CAR,VGK,1.92,4.85,3.62,
2021-2022,2022-01-26,NYI,PHI,1.69,4.9,4.8,
2021-2022,2022-01-26,WPG,FLA,3.2,4.75,1.94,
2021-2022,2022-01-26,VAN,EDM,2.99,4.7,2.0,
2021-2022,2022-01-26,SEA,NSH,3.52,4.6,1.85,
2021-2022,2022-01-27,CBJ,CGY,3.85,4.7,1.81,
2021-2022,2022-01-27,TOR,ANA,1.56,5.05,4.9,
2021-2022,2022-01-27,WSH,SJS,1.77,4.8,4.3,
2021-2022,2022-01-27,DET,CHI,2.36,4.25,2.59,
2021-2022,2022-01-27,COL,BOS,1.9,4.85,3.74,
2021-2022,2022-01-28,TBL,NJD,1.51,5.5,5.25,
2021-2022,2022-01-28,NYI,LAK,2.23,4.25,2.79,
2021-2022,2022-01-28,FLA,VGK,2.08,5.0,3.1,
2021-2022,2022-01-28,CBJ,NYR,3.6,4.75,1.79,
2021-2022,2022-01-28,OTT,CAR,4.4,5.05,1.62,
2021-2022,2022-01-28,MTL,ANA,2.98,4.45,2.06,
2021-2022,2022-01-28,PIT,SEA,1.51,5.6,5.65,
2021-2022,2022-01-28,WPG,VAN,1.93,4.5,3.35,
2021-2022,2022-01-28,STL,CGY,2.22,4.5,3.02,
2021-2022,2022-01-28,EDM,NSH,2.36,4.5,2.5,
2021-2022,2022-01-29,PIT,DET,1.53,5.4,5.2,
2021-2022,2022-01-29,NYR,MIN,2.95,4.65,2.23,
2021-2022,2022-01-29,CHI,COL,3.7,4.8,1.79,
2021-2022,2022-01-29,ARI,BOS,5.2,5.2,1.53,
2021-2022,2022-01-29,DAL,WSH,2.27,4.4,2.69,
2021-2022,2022-01-29,OTT,ANA,2.89,4.45,2.12,2021020773.0
2021-2022,2022-01-29,PHI,LAK,3.25,4.45,1.97,2021020778.0
2021-2022,2022-01-29,STL,WPG,1.85,4.75,3.55,2021020780.0
2021-2022,2022-01-30,FLA,SJS,1.49,5.5,5.25,
2021-2022,2022-01-30,TBL,VGK,2.1,4.75,3.15,
2021-2022,2022-01-30,CAR,NJD,1.54,5.25,4.9,
2021-2022,2022-01-30,DET,TOR,4.85,5.05,1.67,
2021-2022,2022-01-30,MTL,EDM,4.2,5.0,1.66,
2021-2022,2022-01-30,ARI,BUF,2.2,4.4,2.85,
2021-2022,2022-01-30,CGY,VAN,1.8,4.7,3.75,
2021-2022,2022-01-30,PIT,LAK,1.7,4.8,4.2,2021020786.0
2021-2022,2022-01-30,NYR,SEA,1.85,4.7,3.64,2021020785.0
2021-2022,2022-01-30,CAR,SJS,1.56,5.1,4.9,2021020787.0
2021-2022,2022-01-31,MTL,CBJ,2.96,4.5,2.12,
2021-2022,2022-01-31,DAL,BOS,2.75,4.55,2.38,
2021-2022,2022-01-31,NYI,MIN,2.79,4.33,2.29,
2021-2022,2022-01-31,COL,BUF,1.3,6.65,8.4,
2021-2022,2022-02-01,CBJ,FLA,5.0,5.75,1.59,
2021-2022,2022-02-01,CHI,VAN,2.33,4.33,2.65,
2021-2022,2022-02-01,OTT,EDM,3.86,5.0,1.74,
2021-2022,2022-02-01,DET,ANA,2.53,4.4,2.41,
2021-2022,2022-02-01,TOR,NJD,1.48,5.5,5.6,
2021-2022,2022-02-02,NJD,TOR,4.0,5.0,1.69,
2021-2022,2022-02-02,PIT,WSH,2.16,4.65,3.08,
2021-2022,2022-02-02,PHI,WPG,3.1,4.45,2.04,
2021-2022,2022-02-02,NYR,FLA,3.16,4.6,2.13,
2021-2022,2022-02-02,TBL,SJS,1.52,5.15,5.4,
2021-2022,2022-02-02,BOS,SEA,1.58,5.0,4.9,
2021-2022,2022-02-02,NYI,OTT,1.63,4.85,4.5,
2021-2022,2022-02-02,NSH,VAN,1.82,4.5,3.7,
2021-2022,2022-02-02,DAL,CGY,2.66,4.4,2.25,
2021-2022,2022-02-02,COL,ARI,1.32,6.55,8.0,
2021-2022,2022-02-02,VGK,BUF,1.36,6.15,7.6,
2021-2022,2022-02-03,WSH,EDM,2.71,4.8,2.35,
2021-2022,2022-02-03,NYI,SEA,1.74,4.6,4.25,
2021-2022,2022-02-03,DET,LAK,2.94,4.2,2.15,
2021-2022,2022-02-03,CHI,MIN,3.34,4.7,1.88,
2021-2022,2022-02-03,ARI,CGY,5.0,5.05,1.57,
2021-2022,2022-02-08,OTT,NJD,2.23,4.3,2.73,
2021-2022,2022-02-08,TOR,CAR,2.3,4.75,2.8,
2021-2022,2022-02-09,BOS,PIT,2.33,4.5,2.84,
2021-2022,2022-02-09,MTL,NJD,2.55,4.55,2.36,
2021-2022,2022-02-09,WSH,CBJ,1.68,5.0,4.2,
2021-2022,2022-02-09,OTT,CAR,4.2,4.95,1.69,
2021-2022,2022-02-09,WPG,MIN,3.14,4.7,1.96,
2021-2022,2022-02-09,EDM,VGK,2.46,4.65,2.45,
2021-2022,2022-02-09,VAN,ARI,1.69,4.6,4.4,
2021-2022,2022-02-10,PHI,DET,2.43,4.45,2.45,
2021-2022,2022-02-10,DAL,NSH,2.47,4.35,2.47,
2021-2022,2022-02-10,EDM,CHI,1.91,4.8,3.54,
2021-2022,2022-02-10,CGY,VGK,2.23,4.5,3.0,
2021-2022,2022-02-10,SEA,ARI,1.77,4.75,3.92,
2021-2022,2022-02-10,VAN,NYI,2.75,4.2,2.28,
2021-2022,2022-02-11,OTT,PIT,3.62,4.85,1.78,
2021-2022,2022-02-11,MTL,WSH,4.5,4.95,1.63,
2021-2022,2022-02-11,BOS,CAR,3.08,4.25,2.09,
2021-2022,2022-02-11,BUF,CBJ,2.66,4.55,2.25,
